video,rally_id,start,end,kind,status,detail,id
20250504 大統OB-成功大學vs台北大學B-第二局,4,90.367,102.433,score 不在最後,調整後仍存在,"事件序列：serve@91.367s, receive@92.800s, set@94.200s, receive@95.867s, receive@97.900s, set@99.267s, spike@100.900s, score@101.433s, receive@101.800s；既有人工紀錄：觸網（本次未重看影片）",Q0114
20250504 大統OB-成功大學vs台北大學B-第二局,4,90.367,102.433,調整後移出 span 的動作,需複查；action 標註保留,set@103.200s,Q0115
20251227-排島本館-6,19,464.732,473.238,多個 score,調整後仍存在,"2 個：470.804s, 472.238s",Q0116
20260108-排排棧-01,31,710.644,727.192,多個 score,調整後仍存在,"2 個：724.924s, 726.192s",Q0117
20260321-排島本館-01,1,0.401,28.427,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.099s,Q0118
20260426-小窩-01,7,176.967,189.067,多個 score,調整後仍存在,"2 個：186.833s, 188.067s",Q0119
20260426-小窩-01,31,748.467,773.867,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@749.467s, receive@750.367s, set@752.000s, spike@753.400s, receive@753.933s, set@755.633s, receive@757.233s, receive@759.067s, set@760.633s, spike@762.033s, receive@762.733s, spike@764.467s, receive@765.000s, set@766.733s, spike@768.033s, receive@768.533s, set@770.567s, receive@772.333s, score@772.867s, receive@774.567s, receive@776.067s, receive@776.933s, receive@778.200s, spike@779.467s, receive@779.867s, receive@781.933s, receive@783.267s, receive@784.367s, receive@785.767s；既有人工紀錄：觸網（本次未重看影片）",Q0120
20260426-小窩-01,31,748.467,773.867,調整後移出 span 的動作,需複查；action 標註保留,"receive@774.567s, receive@776.067s, receive@776.933s, receive@778.200s, spike@779.467s, receive@779.867s, receive@781.933s, receive@783.267s, receive@784.367s, receive@785.767s",Q0121
20260502-排島本館-01,2,134.402,142.208,多個 score,調整後仍存在,"2 個：140.140s, 141.208s",Q0122
20260502-排島本館-01,20,464.966,473.739,多個 score,調整後仍存在,"2 個：471.738s, 472.739s",Q0123
20260502-排島本館-02,7,245.913,251.984,score 不在最後,調整後仍存在,"事件序列：serve@246.913s, receive@248.281s, set@249.716s, spike@250.884s, block@250.951s, score@250.984s, receive@251.751s；既有人工紀錄：觸網（本次未重看影片）",Q0124
20260502-排島本館-02,8,262.396,274.774,多個 score,調整後仍存在,"2 個：272.839s, 273.774s",Q0125
20260502-排島本館-02,29,706.006,721.92,多個 score,調整後仍存在,"2 個：719.919s, 720.920s",Q0126
20260502-排島本館-02,34,828.962,836.535,多個 score,調整後仍存在,"2 個：834.534s, 835.535s",Q0127
37-39 Thriller! - Japan 🇯🇵 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 1_set1,31,759.0,763.64,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0128
37-39 Thriller! - Japan 🇯🇵 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 1_set2,12,307.6,309.04,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0129
37-39 Thriller! - Japan 🇯🇵 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 1_set2,13,321.0,328.88,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0130
37-39 Thriller! - Japan 🇯🇵 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 1_set2,20,532.252,535.44,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0131
Brazil 🇧🇷 vs. Cuba 🇨🇺 ｜ VNL 2025 - Full Match ｜ Week 1_set5,1,0.0,5.6,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.220s,Q0132
Brazil 🇧🇷 vs. Cuba 🇨🇺 ｜ VNL 2025 - Full Match ｜ Week 1_set5,1,0.0,5.6,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1099.634s,Q0133
Brazil 🇧🇷 vs. Italy 🇮🇹  ｜ VNL 2025 - Full Match ｜ Week 1_set1,9,193.658,196.0,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0134
Brazil 🇧🇷 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 2_set1,39,1345.32,1351.8,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1346.320s, receive@1347.160s, set@1348.720s, spike@1349.800s, receive@1350.240s, score@1350.800s, set@1352.240s",Q0135
Brazil 🇧🇷 vs. Poland 🇵🇱 ｜ VNL 2025 - Full Match ｜ Week 2_set1,39,1345.32,1351.8,調整後移出 span 的動作,需複查；action 標註保留,set@1352.240s,Q0136
Bulgaria 🇧🇬 vs. Argentina 🇦🇷 ｜ VNL 2025 - Full Match ｜ Week 1_set1,23,672.4,673.88,score 不在最後,調整後仍存在,"事件序列：score@672.880s, serve@673.400s；既有人工紀錄：發球踩線（本次未重看影片）",Q0137
Bulgaria 🇧🇬 vs. Argentina 🇦🇷 ｜ VNL 2025 - Full Match ｜ Week 1_set1,23,672.4,673.88,serve 不在最前,調整後仍存在,"事件序列：score@672.880s, serve@673.400s；既有人工紀錄：發球踩線（本次未重看影片）",Q0138
Bulgaria 🇧🇬 vs. Canada 🇨🇦 ｜ VNL 2025 - Full Match ｜ Week 1_set1,44,1552.92,1559.64,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1553.920s, receive@1554.720s, set@1555.760s, spike@1557.720s, block@1557.800s, receive@1558.280s, score@1558.640s, set@1560.120s",Q0139
Bulgaria 🇧🇬 vs. Canada 🇨🇦 ｜ VNL 2025 - Full Match ｜ Week 1_set1,44,1552.92,1559.64,調整後移出 span 的動作,需複查；action 標註保留,set@1560.120s,Q0140
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,1,0.0,5.2,start 小於 0,調整後未出現；原始問題保留供複查,start=-1.260s,Q0141
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,1,0.0,5.2,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=1801.481s,Q0142
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,14,364.64,369.52,score 不在最後,調整後仍存在,"事件序列：serve@365.640s, receive@366.520s, set@368.080s, score@368.520s, spike@368.920s, receive@369.240s；既有人工紀錄：後排踩線（本次未重看影片）",Q0143
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,14,364.64,369.52,調整後移出 span 的動作,需複查；action 標註保留,receive@370.440s,Q0144
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,26,793.12,799.84,多個 score,調整後仍存在,"2 個：797.760s, 798.840s",Q0145
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,37,1133.0,1134.36,score 不在最後,調整後仍存在,"事件序列：score@1133.360s, serve@1134.000s；既有人工紀錄：發球踩線（本次未重看影片）",Q0146
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,37,1133.0,1134.36,serve 不在最前,調整後仍存在,"事件序列：score@1133.360s, serve@1134.000s；既有人工紀錄：發球踩線（本次未重看影片）",Q0147
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,37,1133.0,1134.36,調整後移出 span 的動作,需複查；action 標註保留,"receive@1134.680s, set@1136.400s",Q0148
Bulgaria 🇧🇬 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,52,1793.24,1801.2,end 超出影片,調整後未出現；原始問題保留供複查,end=1801.700s；metadata duration=1801.481s,Q0149
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,1,0.0,9.84,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.780s,Q0150
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,1,0.0,9.84,影片頭尾不足 1 秒,已截在影片範圍,start 無法留滿 1 秒；duration=2106.026s,Q0151
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,4,91.88,97.76,score 不在最後,調整後仍存在,"事件序列：serve@92.880s, receive@93.960s, set@95.640s, spike@95.880s, score@96.760s, receive@97.600s；既有人工紀錄：落地後（本次未重看影片）",Q0152
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,10,244.24,245.8,score 不在最後,調整後仍存在,"事件序列：score@244.800s, serve@245.240s；既有人工紀錄：發球踩線（本次未重看影片）",Q0153
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,10,244.24,245.8,serve 不在最前,調整後仍存在,"事件序列：score@244.800s, serve@245.240s；既有人工紀錄：發球踩線（本次未重看影片）",Q0154
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,10,244.24,245.8,調整後移出 span 的動作,需複查；action 標註保留,receive@245.880s,Q0155
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,31,937.88,951.76,score 不在最後,調整後仍存在,"事件序列：serve@938.880s, receive@939.840s, set@941.400s, spike@943.000s, receive@943.880s, set@945.600s, spike@947.160s, receive@947.960s, set@949.560s, spike@950.600s, block@950.720s, score@950.760s, receive@951.480s；既有人工紀錄：觸網（本次未重看影片）",Q0156
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,31,937.88,951.76,調整後移出 span 的動作,需複查；action 標註保留,set@952.600s,Q0157
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,33,1005.416,1010.0,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0158
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,50,2098.52,2101.52,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@2099.520s, score@2100.520s, receive@2101.560s；既有人工紀錄：落地後（本次未重看影片）",Q0159
Canada 🇨🇦 vs Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,50,2098.52,2101.52,調整後移出 span 的動作,需複查；action 標註保留,receive@2101.560s,Q0160
Champions crowned in Final 24⧸25 (2⧸2) ｜ Suntory Sunbirds Osaka - Stings Aichi ｜ SV League 24⧸25_set1,18,498.9,506.0,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@499.900s, receive@500.767s, set@502.500s, spike@503.533s, receive@504.167s, score@505.000s, spike@506.500s；既有人工紀錄：二擊（本次未重看影片）",Q0161
Champions crowned in Final 24⧸25 (2⧸2) ｜ Suntory Sunbirds Osaka - Stings Aichi ｜ SV League 24⧸25_set1,18,498.9,506.0,調整後移出 span 的動作,需複查；action 標註保留,spike@506.500s,Q0162
China vs. Argentina - Classification 13-16 ｜ Boys' U19 World Champs 2025 - Full Match_set1,2,34.467,41.4,score 不在最後,調整後仍存在,"事件序列：serve@35.467s, receive@36.567s, set@38.167s, spike@39.567s, receive@40.300s, score@40.400s, set@41.367s；既有人工紀錄：觸網（本次未重看影片）",Q0163
China vs. Brazil - Ranking 13-14 ｜ Boys' U19 World Champs 2025 - Full Match_set1,6,157.0,163.183,score 不在最後,調整後仍存在,"事件序列：serve@158.000s, receive@159.367s, set@160.800s, spike@162.000s, block@162.083s, score@162.183s, receive@162.967s；既有人工紀錄：觸網（本次未重看影片）",Q0164
China vs. Brazil - Ranking 13-14 ｜ Boys' U19 World Champs 2025 - Full Match_set1,6,157.0,163.183,調整後移出 span 的動作,需複查；action 標註保留,receive@164.900s,Q0165
China vs. Brazil - Ranking 13-14 ｜ Boys' U19 World Champs 2025 - Full Match_set1,19,473.8,482.333,score 不在最後,調整後仍存在,"事件序列：serve@474.800s, receive@475.733s, set@477.367s, spike@477.750s, block@477.833s, receive@478.267s, set@479.633s, spike@481.300s, score@481.333s, block@481.350s, receive@482.100s；既有人工紀錄：打到標竿（本次未重看影片）",Q0166
China 🇨🇳 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,3,117.36,124.28,score 不在最後,調整後仍存在,"事件序列：serve@118.360s, receive@119.000s, receive@121.000s, spike@122.760s, score@123.280s, receive@123.960s；既有人工紀錄：觸網（本次未重看影片）",Q0167
China 🇨🇳 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 1_set1,7,225.2,234.44,多個 score,調整後仍存在,"2 個：232.120s, 233.440s",Q0168
Cuba vs. Puerto Rico - Ranking 17-18 ｜ Boys' U19 World Champs 2025 - Full Match_set1,22,616.333,629.133,score 不在最後,調整後仍存在,"事件序列：serve@617.333s, receive@618.467s, set@619.500s, spike@620.633s, block@620.750s, receive@621.100s, set@623.400s, spike@624.633s, block@624.733s, receive@625.167s, receive@626.100s, spike@627.967s, score@628.133s, receive@628.600s；既有人工紀錄：觸網（本次未重看影片）",Q0169
Cuba vs. Puerto Rico - Ranking 17-18 ｜ Boys' U19 World Champs 2025 - Full Match_set1,22,616.333,629.133,調整後移出 span 的動作,需複查；action 標註保留,receive@630.450s,Q0170
Final - Stings vs. Sunbirds ｜ SVL League 2024⧸25 - Full Match ｜ Volleyball_set1,1,9.567,12.967,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@10.567s, score@11.967s, serve@13.067s",Q0171
Final - Stings vs. Sunbirds ｜ SVL League 2024⧸25 - Full Match ｜ Volleyball_set1,1,9.567,12.967,多個 serve,調整後未出現；原始問題保留供複查,"2 個：10.567s, 13.067s",Q0172
Final - Stings vs. Sunbirds ｜ SVL League 2024⧸25 - Full Match ｜ Volleyball_set1,1,9.567,12.967,調整後移出 span 的動作,需複查；action 標註保留,serve@13.067s,Q0173
Final - Stings vs. Sunbirds ｜ SVL League 2024⧸25 - Full Match ｜ Volleyball_set1,29,1124.467,1129.367,score 不在最後,調整後仍存在,"事件序列：serve@1125.467s, receive@1125.933s, set@1127.833s, score@1128.367s, spike@1128.800s；既有人工紀錄：後排踩線（本次未重看影片）",Q0174
Final - Stings vs. Sunbirds ｜ SVL League 2024⧸25 - Full Match ｜ Volleyball_set1,29,1124.467,1129.367,調整後移出 span 的動作,需複查；action 標註保留,receive@1129.400s,Q0175
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,3,58.7,72.433,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@59.700s, receive@60.633s, set@62.267s, spike@63.267s, receive@64.067s, set@65.267s, spike@67.267s, receive@67.867s, set@69.333s, spike@70.567s, block@70.633s, receive@71.200s, score@71.433s, set@72.733s；既有人工紀錄：觸網（本次未重看影片）",Q0176
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,3,58.7,72.433,調整後移出 span 的動作,需複查；action 標註保留,set@72.733s,Q0177
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,5,136.933,144.4,score 不在最後,調整後仍存在,"事件序列：serve@137.933s, receive@138.867s, set@140.333s, spike@140.800s, block@140.867s, receive@141.300s, set@142.200s, score@143.400s, spike@143.767s, block@143.833s；既有人工紀錄：觸網（本次未重看影片）",Q0178
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,5,136.933,144.4,調整後移出 span 的動作,需複查；action 標註保留,receive@144.433s,Q0179
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,18,520.933,531.133,score 不在最後,調整後仍存在,"事件序列：serve@521.933s, receive@522.567s, receive@524.233s, set@525.633s, spike@526.800s, block@526.967s, receive@527.533s, set@528.400s, spike@530.000s, score@530.133s, receive@530.400s；既有人工紀錄：觸網（本次未重看影片）",Q0180
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,18,520.933,531.133,調整後移出 span 的動作,需複查；action 標註保留,set@531.400s,Q0181
France vs. Iran - Semi Final 2 ｜ Boys' U19 World Champs 2025 - Full Match_set1,24,665.6,670.933,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0182
France 🇫🇷 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 2_set1,19,593.68,599.64,score 不在最後,調整後仍存在,"事件序列：serve@594.680s, receive@595.720s, set@596.880s, spike@598.000s, block@598.120s, score@598.640s, receive@599.600s；既有人工紀錄：落地後（本次未重看影片）",Q0183
France 🇫🇷 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 2_set1,41,1272.24,1281.68,score 不在最後,調整後仍存在,"事件序列：serve@1273.240s, receive@1274.360s, set@1275.760s, spike@1276.960s, receive@1277.200s, receive@1278.440s, set@1280.080s, spike@1280.640s, score@1280.680s, receive@1281.080s；既有人工紀錄：觸網（本次未重看影片）",Q0184
France 🇫🇷 vs. Japan 🇯🇵 ｜ VNL 2025 - Full Match ｜ Week 2_set1,41,1272.24,1281.68,調整後移出 span 的動作,需複查；action 標註保留,receive@1282.040s,Q0185
Full Match ｜ Bulgaria vs Luxembourg ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,31,882.633,896.767,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@883.633s, receive@884.600s, set@886.767s, spike@888.567s, receive@889.433s, set@891.233s, spike@891.900s, receive@892.367s, set@893.833s, spike@895.100s, score@895.767s, receive@897.033s",Q0186
Full Match ｜ Bulgaria vs Luxembourg ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,31,882.633,896.767,調整後移出 span 的動作,需複查；action 標註保留,receive@897.033s,Q0187
Full Match ｜ Bulgaria vs Luxembourg ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set3,37,1114.867,1119.933,score 不在最後,調整後仍存在,"事件序列：serve@1115.867s, receive@1116.967s, set@1118.433s, score@1118.933s, spike@1119.667s；既有人工紀錄：觸網（本次未重看影片）",Q0188
Full Match ｜ Croatia vs. Bulgaria ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,24,603.2,611.2,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@604.200s, receive@605.333s, set@606.333s, spike@607.667s, receive@608.300s, set@610.167s, score@610.200s, spike@612.000s；既有人工紀錄：二擊（本次未重看影片）",Q0189
Full Match ｜ Croatia vs. Bulgaria ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,24,603.2,611.2,調整後移出 span 的動作,需複查；action 標註保留,spike@612.000s,Q0190
Full Match ｜ Croatia vs. Bulgaria ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,28,708.5,714.333,score 不在最後,調整後仍存在,"事件序列：serve@709.500s, receive@710.367s, set@711.867s, spike@712.533s, score@713.333s, receive@714.167s；既有人工紀錄：落地後（本次未重看影片）",Q0191
Full Match ｜ Croatia vs. Serbia ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,21,536.033,552.833,score 不在最後,調整後仍存在,"事件序列：serve@537.033s, receive@537.967s, set@539.667s, spike@541.167s, block@541.200s, receive@541.800s, set@543.367s, spike@544.567s, block@544.633s, receive@545.133s, set@546.400s, spike@547.867s, block@548.000s, receive@548.767s, set@549.667s, spike@551.200s, block@551.267s, score@551.833s, receive@551.867s；既有人工紀錄：觸網（本次未重看影片）",Q0192
Full Match ｜ Croatia vs. Serbia ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,21,536.033,552.833,調整後移出 span 的動作,需複查；action 標註保留,receive@553.700s,Q0193
Full Match ｜ Denmark vs. England ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool A_set1,11,437.2,444.633,score 不在最後,調整後仍存在,"事件序列：serve@438.200s, receive@438.933s, set@441.167s, spike@442.600s, score@443.633s, receive@444.433s；既有人工紀錄：落地後（本次未重看影片）",Q0194
Full Match ｜ Denmark vs. England ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool A_set1,18,630.667,637.033,score 不在最後,調整後仍存在,"事件序列：serve@631.667s, receive@632.367s, set@634.367s, spike@635.233s, score@636.033s, receive@636.300s；既有人工紀錄：越界（本次未重看影片）",Q0195
Full Match ｜ Denmark vs. England ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool A_set1,18,630.667,637.033,調整後移出 span 的動作,需複查；action 標註保留,receive@637.733s,Q0196
Full Match ｜ Ireland vs. Spain ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,9,202.233,213.2,score 不在最後,調整後仍存在,"事件序列：serve@203.233s, receive@204.267s, set@206.067s, spike@207.467s, receive@208.533s, set@210.233s, spike@211.233s, score@212.200s, receive@213.067s；既有人工紀錄：落地後（本次未重看影片）",Q0197
Full Match ｜ Ireland vs. Spain ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,11,307.0,312.733,score 不在最後,調整後仍存在,"事件序列：serve@308.000s, receive@309.000s, set@310.933s, spike@311.367s, block@311.400s, score@311.733s, receive@311.767s, set@312.600s；既有人工紀錄：觸網（本次未重看影片）",Q0198
Full Match ｜ Ireland vs. Türkiye ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,14,418.833,424.367,score 不在最後,調整後仍存在,"事件序列：serve@419.833s, receive@420.967s, set@422.300s, score@423.367s, receive@424.200s；既有人工紀錄：落地後（本次未重看影片）",Q0199
Full Match ｜ Ireland vs. Türkiye ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,19,528.833,539.933,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@529.833s, receive@531.200s, set@532.433s, spike@534.000s, block@534.100s, receive@534.833s, set@536.600s, spike@538.100s, score@538.933s, set@540.233s",Q0200
Full Match ｜ Ireland vs. Türkiye ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,19,528.833,539.933,調整後移出 span 的動作,需複查；action 標註保留,set@540.233s,Q0201
Full Match ｜ Italy vs. England ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool A_set1,30,1002.433,1012.3,score 不在最後,調整後仍存在,"事件序列：serve@1003.433s, receive@1004.000s, set@1005.767s, spike@1007.100s, receive@1008.067s, set@1009.233s, spike@1010.400s, block@1010.700s, score@1011.300s, receive@1011.900s；既有人工紀錄：落地後（本次未重看影片）",Q0202
Full Match ｜ Luxembourg vs. Croatia - CEV U22 Volleyball European Championship 2026 ｜ Women ｜ Pool E_set1,1,5.533,13.0,score 不在最後,調整後仍存在,"事件序列：serve@6.533s, receive@7.600s, set@9.300s, spike@10.500s, receive@10.867s, receive@12.000s, score@12.000s, receive@12.733s；既有人工紀錄：持球（本次未重看影片）",Q0203
Full Match ｜ Norway vs. Bulgaria ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool C_set1,21,555.2,561.433,score 不在最後,調整後仍存在,"事件序列：serve@556.200s, receive@556.833s, set@559.033s, spike@560.200s, score@560.433s, receive@560.633s, receive@561.200s；既有人工紀錄：觸網（本次未重看影片）",Q0204
Full Match ｜ Poland vs. England ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool C_set1,4,84.933,90.9,score 不在最後,調整後仍存在,"事件序列：serve@85.933s, receive@86.900s, set@88.767s, spike@89.833s, score@89.900s, receive@90.300s；既有人工紀錄：打到標竿（本次未重看影片）",Q0205
Full Match ｜ Poland vs. Slovakia ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool C_set1,21,550.7,562.9,缺少 serve,調整後仍存在,span 內沒有 serve；既有人工紀錄：導播問題（本次未重看影片）,Q0206
Full Match ｜ Poland vs. Slovakia ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool C_set1,26,718.467,722.967,score 不在最後,調整後仍存在,"事件序列：serve@719.467s, receive@720.600s, set@721.933s, score@721.967s, receive@722.933s；既有人工紀錄：持球（本次未重看影片）",Q0207
Full Match ｜ Serbia vs. Bulgaria ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,20,491.367,499.367,score 不在最後,調整後仍存在,"事件序列：serve@492.367s, receive@493.400s, set@494.633s, spike@496.300s, receive@496.633s, score@498.367s, receive@498.933s",Q0208
Full Match ｜ Serbia vs. Luxembourg ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,34,1045.967,1052.233,score 不在最後,調整後仍存在,"事件序列：serve@1046.967s, receive@1048.067s, set@1049.500s, receive@1050.833s, score@1051.233s, receive@1051.467s；既有人工紀錄：觸網（本次未重看影片）",Q0209
Full Match ｜ Serbia vs. Luxembourg ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool E_set1,34,1045.967,1052.233,調整後移出 span 的動作,需複查；action 標註保留,receive@1052.500s,Q0210
Full Match ｜ Slovakia vs. England ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool C_set1,31,944.667,953.867,score 不在最後,調整後仍存在,"事件序列：serve@945.667s, receive@946.667s, set@948.400s, spike@949.567s, block@949.667s, receive@950.333s, set@951.200s, spike@952.767s, score@952.867s, receive@953.300s；既有人工紀錄：觸網（本次未重看影片）",Q0211
Full Match ｜ Slovakia vs. England ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool C_set1,31,944.667,953.867,調整後移出 span 的動作,需複查；action 標註保留,receive@954.033s,Q0212
Full Match ｜ Spain vs The Netherlands ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool C_set1,13,466.933,478.4,score 不在最後,調整後仍存在,"事件序列：serve@467.933s, receive@468.867s, set@470.767s, spike@471.900s, receive@472.267s, spike@473.867s, block@473.900s, receive@474.400s, set@475.300s, spike@477.100s, block@477.267s, score@477.400s, receive@477.700s；既有人工紀錄：觸網（本次未重看影片）",Q0213
Full Match ｜ Spain vs The Netherlands ｜ CEV U22 Volleyball European Championship 2026 Men ｜ Pool C_set1,13,466.933,478.4,調整後移出 span 的動作,需複查；action 標註保留,receive@478.867s,Q0214
Full Match ｜ Türkiye vs. Spain ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,40,1283.0,1294.367,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@1284.000s, receive@1285.000s, set@1286.967s, spike@1288.000s, block@1288.067s, receive@1289.300s, set@1290.967s, spike@1292.000s, score@1293.367s, set@1294.800s, spike@1295.367s, receive@1295.533s；既有人工紀錄：no in（本次未重看影片）",Q0215
Full Match ｜ Türkiye vs. Spain ｜ CEV U22 Volleyball European Championship 2026 Women ｜ Pool D_set1,40,1283.0,1294.367,調整後移出 span 的動作,需複查；action 標註保留,"set@1294.800s, spike@1295.367s, receive@1295.533s",Q0216
JT Thunders 🇯🇵 vs. Wolfdogs Nagoya 🇯🇵 ｜ SV League 2026 ｜ Full Match - Volleyball_set1,1,0.235,15.615,start 小於 0,調整後未出現；原始問題保留供複查,start=-0.265s,Q0217
Japan vs. USA - Ranking 15-16 ｜ Boys' U19 World Champs 2025 - Full Match_set1,26,614.767,618.967,score 不在最後,調整後未出現；原始問題保留供複查,"事件序列：serve@615.767s, receive@616.400s, score@617.967s, receive@619.200s；既有人工紀錄：舉球後排越界（本次未重看影片）",Q0218
